id,left,top,right,bottom,X,Y,SHETRAN_ID,LC_0,LC_1,LC_2,LC_3,LC_4,LC_5,LC_6,LC_7,LC_9,LC_10,LC_11,LC_12,LC_14,LC_20,LC_21
54,370775.000099999830127,567775.000099999830127,375775.000099999830127,562775.000099999830127,373275.000099999830127,565275.000099999713711,"0","0","2399","88","136","31966","0","0","3324","13","797","0","0","83","126","1068"
55,370775.000099999830127,562775.000099999830127,375775.000099999830127,557775.000099999830127,373275.000099999830127,560275.000099999713711,"0","0","929","263","0","10067","0","0","4551","0","23507","589","0","51","0","43"
56,370775.000099999830127,557775.000099999830127,375775.000099999830127,552775.000099999830127,373275.000099999830127,555275.000099999713711,"0","0","0","320","0","17","0","0","3872","27","4631","31084","0","49","0","0"
57,370775.000099999830127,552775.000099999830127,375775.000099999830127,547775.000099999830127,373275.000099999830127,550275.000099999713711,"0","0","325","1231","0","2985","0","0","8931","105","0","26323","0","7","0","93"
58,370775.000099999830127,547775.000099999830127,375775.000099999830127,542775.000099999830127,373275.000099999830127,545275.000099999713711,"0","0","1451","425","0","14656","0","0","17231","0","1183","4168","73","9","0","804"
59,370775.000099999830127,542775.000099999830127,375775.000099999830127,537775.000099999830127,373275.000099999830127,540275.000099999713711,"0","0","283","28","0","5522","0","103","10851","0","1193","21958","0","0","0","62"
60,370775.000099999830127,537775.000099999830127,375775.000099999830127,532775.000099999830127,373275.000099999830127,535275.000099999713711,"0","0","0","0","0","0","0","0","533","0","0","39467","0","0","0","0"
61,375775.000099999830127,607775.000099999830127,380775.000099999830127,602775.000099999830127,378275.000099999830127,605275.000099999713711,"0","0","50","10795","0","455","0","0","26987","0","0","1700","0","0","0","13"
62,375775.000099999830127,602775.000099999830127,380775.000099999830127,597775.000099999830127,378275.000099999830127,600275.000099999713711,"0","0","2426","27044","39","1476","0","41","1762","8","4724","2350","0","0","0","130"
63,375775.000099999830127,597775.000099999830127,380775.000099999830127,592775.000099999830127,378275.000099999830127,595275.000099999713711,"0","0","93","30029","0","78","0","0","365","0","8206","1227","2","0","0","0"
64,375775.000099999830127,592775.000099999830127,380775.000099999830127,587775.000099999830127,378275.000099999830127,590275.000099999713711,"0","0","2708","13386","0","6915","0","913","2972","0","12913","0","158","0","0","35"
65,375775.000099999830127,587775.000099999830127,380775.000099999830127,582775.000099999830127,378275.000099999830127,585275.000099999713711,"0","0","4605","2537","0","19929","0","0","9641","0","2977","0","0","103","0","208"
